ID,code,parameter,analyzed_material_1,analyzed_material_2,sample_preparation,chemical_treatment,technique,laboratory,analyst,number_of_replicates,instrument,date,comment,detection_limit,detection_limit_unit,total_procedural_blank_value,total_procedural_unit
hermann2017a_y,hermann2017_A,Y,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.116493301392541,ppm,0.849529998133579,ppm
hermann2017a_zr,hermann2017_A,Zr,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.165533471606775,ppm,3.44002329545941,ppm
hermann2017a_nb,hermann2017_A,Nb,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.601492130832866,ppm,0.639157753736306,ppm
hermann2017a_ba,hermann2017_A,Ba,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.162633383323217,ppm,5.78057512381899,ppm
hermann2017a_la,hermann2017_A,La,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.454481616664598,ppm,0.181565413868642,ppm
hermann2017a_ce,hermann2017_A,Ce,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,2.45732368279041,ppm,1.1234711002376,ppm
hermann2017a_nd,hermann2017_A,Nd,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.392224821258514,ppm,0.352774731214945,ppm
hermann2017a_sm,hermann2017_A,Sm,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.294483367460601,ppm,0.301684041002796,ppm
hermann2017a_eu,hermann2017_A,Eu,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.107605449847184,ppm,0.0784929345276946,ppm
hermann2017a_gd,hermann2017_A,Gd,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.373901440426738,ppm,0.140832274751236,ppm
hermann2017a_dy,hermann2017_A,Dy,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.093079159394387,ppm,0.196492075475892,ppm
hermann2017a_er,hermann2017_A,Er,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.425275939491468,ppm,0.226965648778688,ppm
hermann2017a_yb,hermann2017_A,Yb,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,0.0464086756617857,ppm,0.0378003603561137,ppm
hermann2017a_th,hermann2017_A,Th,Whole rock,Core sample,Unweathered chips (±1 g) were crushed to powder using an agate pestle and mortar,"Digested with HF, HNO3 and H3BO3",ICP-AES,PSO/IUEM Plouzané,"Liorzou, Céline",,Horiba Jobin Yvon Ultima 2,"2011, 2012",,1.08579416324159,ppm,0.171960062833516,ppm
hermann2017b_sr87sr86,hermann2017_B,Sr87_Sr86,Whole rock,Core sample,Unweathered chips (0.5 to 1 g) were crushed to chips using an agate pestle and mortar,Samples were dissolved using a HF-HNO3 mixture,TIMS,PSO/IUEM Plouzané,"Chauvel, Catherine; Sauzéat, Lucie",,Thermo Scientific Triton Mass Spectrometer,2012.0,,,,,
hermann2017c_pb206pb204,hermann2017_C,Pb206_Pb204,Whole rock,Core sample,Unweathered chips (0.5 to 1 g) were crushed to chips using an agate pestle and mortar,Samples were dissolved using a HF-HNO3 mixture,MC-ICP-MS,ENS Lyon,"Chauvel, Catherine; Sauzéat, Lucie",,Nu Plasma Multicollector,2012.0,,,,,
hermann2017c_pb207pb204,hermann2017_C,Pb207_Pb204,Whole rock,Core sample,Unweathered chips (0.5 to 1 g) were crushed to chips using an agate pestle and mortar,Samples were dissolved using a HF-HNO3 mixture,MC-ICP-MS,ENS Lyon,"Chauvel, Catherine; Sauzéat, Lucie",,Nu Plasma Multicollector,2012.0,,,,,
hermann2017c_pb208pb204,hermann2017_C,Pb208_Pb204,Whole rock,Core sample,Unweathered chips (0.5 to 1 g) were crushed to chips using an agate pestle and mortar,Samples were dissolved using a HF-HNO3 mixture,MC-ICP-MS,ENS Lyon,"Chauvel, Catherine; Sauzéat, Lucie",,Nu Plasma Multicollector,2012.0,,,,,
hermann2017d_age,hermann2017_D,Age,Whole rock,Core sample,Unweathered chips were crushed and sived to the 0.250 - 0.125 mm fraction size.,Samples were cleaned using HNO3 (1N) and rinced with deionized water,AR_AR,LSCE,"Guillou, Hervé",,GV5400,2013.0,,,,,
kahn2008a_sio2,kahn2008_A,SiO2,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_tio2,kahn2008_A,TiO2,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_al2o3,kahn2008_A,Al2O3,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_cao,kahn2008_A,CaO,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_mgo,kahn2008_A,MgO,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_k2o,kahn2008_A,K2O,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_na2o,kahn2008_A,Na2O,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_v,kahn2008_A,V,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_fe,kahn2008_A,Fe,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_ni,kahn2008_A,Ni,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_cu,kahn2008_A,Cu,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_zn,kahn2008_A,Zn,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_rb,kahn2008_A,Rb,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_sr,kahn2008_A,Sr,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_y,kahn2008_A,Y,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_zr,kahn2008_A,Zr,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2008a_nb,kahn2008_A,Nb,Whole rock,Sample surface,Non-destructive but including the use of sonic baths and dilute HCl to remove surface material,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX EC EDXRF spectrometer,2008.0,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_sio2,kahn2013_A,SiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_tio2,kahn2013_A,TiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_al2o3,kahn2013_A,Al2O3,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_feo,kahn2013_A,FeO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,,,,,
kahn2013a_cao,kahn2013_A,CaO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_mgo,kahn2013_A,MgO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_k2o,kahn2013_A,K2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_v,kahn2013_A,V,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_ni,kahn2013_A,Ni,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_cu,kahn2013_A,Cu,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_zn,kahn2013_A,Zn,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_rb,kahn2013_A,Rb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_sr,kahn2013_A,Sr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_y,kahn2013_A,Y,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_zr,kahn2013_A,Zr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_nb,kahn2013_A,Nb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013a_ba,kahn2013_A,Ba,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,,,,,
kahn2013a_na2o,kahn2013_A,Na2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kahn2013b_sio2,kahn2013_B,SiO2,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_tio2,kahn2013_B,TiO2,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_al2o3,kahn2013_B,Al2O3,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_feo,kahn2013_B,FeO,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_cao,kahn2013_B,CaO,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_mgo,kahn2013_B,MgO,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_mno,kahn2013_B,MnO,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_k2o,kahn2013_B,K2O,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_na2o,kahn2013_B,Na2O,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_p2o5,kahn2013_B,P2O5,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_v,kahn2013_B,V,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_cr,kahn2013_B,Cr,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_co,kahn2013_B,Co,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_ni,kahn2013_B,Ni,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_zn,kahn2013_B,Zn,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_rb,kahn2013_B,Rb,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_sr,kahn2013_B,Sr,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_y,kahn2013_B,Y,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_zr,kahn2013_B,Zr,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_nb,kahn2013_B,Nb,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kahn2013b_ba,kahn2013_B,Ba,Whole rock,Powder,0.45 g of ignited powder was mixed with 2.95 g of Spectroflux 105 and formed into glass button,,WD-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",2.0,Siemens SRS 303 AS WD-XRF spectrometer,,,,,,
kirch2012a_sio2,kirch2012_A,SiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_tio2,kirch2012_A,TiO2,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_al2o3,kirch2012_A,Al2O3,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_cao,kirch2012_A,CaO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_mgo,kirch2012_A,MgO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_mno,kirch2012_A,MnO,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_k2o,kirch2012_A,K2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_na2o,kirch2012_A,Na2O,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_v,kirch2012_A,V,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_fe,kirch2012_A,Fe,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_ni,kirch2012_A,Ni,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_cu,kirch2012_A,Cu,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_zn,kirch2012_A,Zn,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_rb,kirch2012_A,Rb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_sr,kirch2012_A,Sr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_y,kirch2012_A,Y,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_zr,kirch2012_A,Zr,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
kirch2012a_nb,kirch2012_A,Nb,Whole rock,Sample surface,,,ED-XRF,University of Hawai'i at Hilo,"Mills, Peter; Lundblad, Steven",,ThermoNoran QuanX ED-XRF spectrometer,,Methods described in Lundblad et al. Archaeometry 50 (2008),,,,
